,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Seen_granny,1st Error Type,comment,2nd Error Type,comment 2
31,6,2550,TRUE,2543.255,759.452,1128.750,374,[],1,Example,siLUC1,2,2543,,2580,['2563'],1,2,1806,30.100,TRUE,,normal,,blank,
63,17,3046,TRUE,3037.305,1173.221,925.733,377,[],1,Example,siLUC1,2,3037,,3085,['3055' '3070'],2,2,1645,27.417,TRUE,,normal,,blank,
52,12,2883,TRUE,2872.288,863.308,1004.730,377,[],1,Example,siLUC1,2,2872,,,['2892'],1,1,1533,25.550,,,normal,,blank,
14,3,2237,TRUE,2175.224,930.704,1297.793,383,[],1,Example,siLUC1,2,2175,,2186,['2252' '2291'],2,2,1848,30.800,FALSE,,normal,,blank,
18,4,2335,TRUE,2322.233,1199.461,1268.238,397,[],1,Example,siLUC1,2,2322,,2390,['2354' '2367'],2,2,2037,33.950,TRUE,,normal,,blank,
41,8,2694,TRUE,2640.269,899.768,1156.372,400,[],1,Example,siLUC1,2,2640,,2649,['2707'],1,2,1813,30.217,TRUE,,normal,,blank,
21,4,2390,TRUE,2322.239,1329.006,1200.290,408,[],1,Example,siLUC1,2,2322,,2335,['2405' '2434'],2,2,2114,35.233,FALSE,,normal,,blank,
25,5,2460,TRUE,2453.246,328.557,1100.024,419,[],1,Example,siLUC1,2,2453,,2496,['2473'],1,2,2177,36.283,FALSE,,Laggings,,blank,
38,8,2649,TRUE,2640.265,1075.993,912.474,422,[],1,Example,siLUC1,2,2640,,2694,['2662' '2677'],2,2,1967,32.783,FALSE,,normal,,blank,
2,1,2038,TRUE,2027.204,856.127,1054.725,422,[],1,Example,siLUC1,2,2027,,2064,[],0,2,2226,37.100,FALSE,,normal,,blank,
8,2,2143,TRUE,2085.214,632.669,783.758,437,[],1,Example,siLUC1,2,2085,,2094,['2154'],1,2,2303,38.383,TRUE,,normal,,blank,
5,2,2094,TRUE,2085.209,596.761,959.707,442,[],1,Example,siLUC1,2,2085,,2143,['2105' '2126'],2,2,2338,38.967,FALSE,,normal,,blank,
27,5,2496,TRUE,2453.250,611.953,985.119,472,[],1,Example,siLUC1,2,2453,,2460,['2507' '2522'],2,2,2548,42.467,TRUE,,normal,,blank,
36,7,2623,TRUE,2612.262,564.168,924.904,473,[],1,Example,siLUC1,2,2612,,,[],0,1,2100,35.000,,,normal,,blank,
33,6,2580,TRUE,2543.258,764.700,1088.975,473,[],1,Example,siLUC1,2,2543,,2550,['2595'],1,2,2499,41.650,FALSE,,normal,,blank,
47,11,2800,TRUE,2789.280,1149.190,775.196,484,[],1,Example,siLUC1,2,2789,,2855,['2815' '2834'],2,2,2464,41.067,TRUE,,normal,,blank,
60,15,3001,TRUE,2984.300,715.533,1240.893,503,['3014'],1,Example,siLUC1,2,2984,,,['3028'],1,1,2408,40.133,,,normal,,blank,
3,1,2064,TRUE,2027.206,439.043,1147.257,510,[],1,Example,siLUC1,2,2027,,2038,[],0,2,2842,47.367,TRUE,,normal,,blank,
66,17,3085,TRUE,3037.309,907.226,1264.095,569,[],1,Example,siLUC1,2,3037,,3046,[],0,2,2989,49.817,FALSE,,normal,,blank,
53,12,2892,TRUE,2872.2883.2892,884.577,1361.875,574,[],1,Example,siLUC1,3,2883,2872,,['2905' '2914'],2,1,1379,22.983,,FALSE,normal,,blank,
50,11,2855,TRUE,2789.285,622.173,533.784,592,[],1,Example,siLUC1,2,2789,,2800,[],0,2,3220,53.667,FALSE,,normal,,blank,
15,3,2252,TRUE,2175.2237.2252,1008.597,830.439,642,[],1,Example,siLUC1,3,2237,2175,2291,[],0,2,1813,30.217,FALSE,TRUE,Other,,blank,
64,17,3055,TRUE,3037.3046.3055,1120.188,985.395,650,[],1,Example,siLUC1,3,3046,3037,3070,[],0,2,1911,31.850,TRUE,TRUE,normal,,blank,
22,4,2405,TRUE,2322.2390.2405,1162.725,1420.156,653,['2418'],1,Example,siLUC1,3,2390,2322,2434,[],0,2,1715,28.583,TRUE,TRUE,normal,,blank,
40,8,2677,TRUE,2640.2649.2677,1085.385,878.500,663,[],1,Example,siLUC1,3,2649,2640,2662,[],0,2,1687,28.117,TRUE,TRUE,normal,,blank,
65,17,3070,TRUE,3037.3046.3070,1150.847,1199.737,668,[],1,Example,siLUC1,3,3046,3037,3055,[],0,2,2037,33.950,FALSE,FALSE,normal,,blank,
29,5,2522,TRUE,2453.2496.2522,729.620,872.976,670,[],1,Example,siLUC1,3,2496,2453,2507,[],0,2,1386,23.100,TRUE,TRUE,normal,,blank,
20,4,2367,TRUE,2322.2335.2367,1121.292,1261.057,676,[],1,Example,siLUC1,3,2335,2322,2354,[],0,2,1953,32.550,TRUE,TRUE,normal,,blank,
16,3,2291,TRUE,2175.2237.2291,938.438,937.334,680,[],1,Example,siLUC1,3,2237,2175,2252,[],0,2,2079,34.650,TRUE,TRUE,normal,,blank,
23,4,2434,TRUE,2322.2390.2434,1300.556,1235.093,682,[],1,Example,siLUC1,3,2390,2322,2405,[],0,2,1918,31.967,FALSE,TRUE,normal,,blank,
6,2,2105,TRUE,2085.2094.2105,849.774,935.953,693,[],1,Example,siLUC1,3,2094,2085,2126,[],0,2,1757,29.283,TRUE,TRUE,normal,,blank,
34,6,2595,TRUE,2543.2580.2595,821.047,866.899,695,[],1,Example,siLUC1,3,2580,2543,,[],0,1,1554,25.900,,TRUE,normal,,blank,
49,11,2834,TRUE,2789.2800.2834,1278.458,863.308,697,[],1,Example,siLUC1,3,2800,2789,2815,[],0,2,1491,24.850,TRUE,TRUE,normal,,blank,
48,11,2815,TRUE,2789.2800.2815,986.224,364.465,717,[],1,Example,siLUC1,3,2800,2789,2834,[],0,2,1631,27.183,FALSE,FALSE,normal,,blank,
28,5,2507,TRUE,2453.2496.2507,455.616,934.295,719,[],1,Example,siLUC1,3,2496,2453,2522,[],0,2,1729,28.817,FALSE,TRUE,normal,,blank,
42,8,2707,TRUE,2640.2694.2707,968.270,1184.545,719,[],1,Example,siLUC1,3,2694,2640,,[],0,1,2233,37.217,,TRUE,normal,,blank,
45,10,2772,TRUE,2755.277,723.820,1330.110,735,[],1,Example,siLUC1,2,2755,,,[],0,1,3115,51.917,,,Other,,blank,
7,2,2126,TRUE,2085.2094.2126,855.850,1362.428,736,[],1,Example,siLUC1,3,2094,2085,2105,[],0,2,2058,34.300,FALSE,TRUE,normal,,blank,
13,3,2212,TRUE,2175.2186.2212,1012.740,1484.238,782,[],1,Example,siLUC1,3,2186,2175,2197,[],0,2,2982,49.700,TRUE,TRUE,normal,,blank,
26,5,2473,TRUE,2453.2460.2473,818.561,1061.906,785,[],1,Example,siLUC1,3,2460,2453,,[],0,1,2562,42.700,,FALSE,normal,,blank,
9,2,2154,TRUE,2085.2143.2154,164.762,738.183,786,[],1,Example,siLUC1,3,2143,2085,,[],0,1,2443,40.717,,FALSE,normal,,blank,
57,13,2948,TRUE,2935.295,372.751,614.715,793,[],1,Example,siLUC1,2,2935,,,[],0,1,3892,64.867,,,Other,,blank,
32,6,2563,TRUE,2543.2550.2563,604.771,903.359,793,[],1,Example,siLUC1,3,2550,2543,,[],0,1,2933,48.883,,FALSE,normal,,blank,
54,12,2905,TRUE,2872.2883.2892.2905,844.526,1606.325,808,"['2907', '2909']",1,Example,siLUC1,4,2892,2883,2914,[],0,2,1638,27.300,FALSE,FALSE,Other,,blank,
55,12,2914,TRUE,2872.2883.2892.2914,941.753,1196.423,815,[],1,Example,siLUC1,4,2892,2883,2905,[],0,2,1687,28.117,TRUE,TRUE,normal,,blank,
39,8,2662,TRUE,2640.2649.2662,951.421,1253.875,815,[],1,Example,siLUC1,3,2649,2640,2677,[],0,2,2751,45.850,FALSE,FALSE,normal,,blank,
19,4,2354,TRUE,2322.2335.2354,1039.257,371.094,816,[],1,Example,siLUC1,3,2335,2322,2367,[],0,2,2933,48.883,FALSE,FALSE,Other,,blank,
61,15,3028,TRUE,2984.3001.3028,742.326,1301.937,816,[],1,Example,siLUC1,3,3001,2984,,[],0,1,2191,36.517,,FALSE,Other,,blank,
12,3,2197,TRUE,2175.2186.2197,746.193,737.631,816,[],1,Example,siLUC1,3,2186,2175,2212,[],0,2,3220,53.667,FALSE,FALSE,Other,,blank,
