,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Seen_granny,1st Error Type,comment,2nd Error Type,comment 2
43,9,2728,TRUE,2728.000,1258.019,742.326,104,[],1,Example,siLUC1,1,,,,[],0,NaN,NaN,NaN,,,normal,,blank,
1,1,2027,TRUE,2027.000,826.848,984.014,104,[],1,Example,siLUC1,1,,,,['2038' '2064'],2,NaN,NaN,NaN,,,normal,,blank,
17,4,2322,TRUE,2322.000,1309.671,1072.126,106,[],1,Example,siLUC1,1,,,,['2335' '2390'],2,NaN,NaN,NaN,,,normal,,blank,
24,5,2453,TRUE,2453.000,477.713,893.415,108,[],1,Example,siLUC1,1,,,,['2460' '2496'],2,NaN,NaN,NaN,,,normal,,blank,
4,2,2085,TRUE,2085.000,665.262,960.259,108,[],1,Example,siLUC1,1,,,,['2094' '2143'],2,NaN,NaN,NaN,,,normal,,blank,
30,6,2543,TRUE,2543.000,785.416,1183.993,116,[],1,Example,siLUC1,1,,,,['2550' '2580'],2,NaN,NaN,NaN,,,normal,,blank,
10,3,2175,TRUE,2175.000,1013.016,910.541,119,[],1,Example,siLUC1,1,,,,['2186' '2237'],2,NaN,NaN,NaN,,,normal,,blank,
0,0,2004,TRUE,2004.000,994.786,916.894,121,[],1,Example,siLUC1,1,,,,[],0,NaN,NaN,NaN,,,normal,,blank,
46,11,2789,TRUE,2789.000,958.602,627.145,132,[],1,Example,siLUC1,1,,,,['2800' '2855'],2,NaN,NaN,NaN,,,normal,,blank,
37,8,2640,TRUE,2640.000,1096.433,920.761,141,[],1,Example,siLUC1,1,,,,['2649' '2694'],2,NaN,NaN,NaN,,,normal,,blank,
62,17,3037,TRUE,3037.000,916.894,814.694,142,[],1,Example,siLUC1,1,,,,['3046' '3085'],2,NaN,NaN,NaN,,,normal,,blank,
51,12,2872,TRUE,2872.000,875.462,998.653,158,[],1,Example,siLUC1,1,,,,['2883'],1,NaN,NaN,NaN,,,normal,,blank,
59,15,2984,TRUE,2984.000,708.904,996.720,159,[],1,Example,siLUC1,1,,,,['3001'],1,NaN,NaN,NaN,,,normal,,blank,
35,7,2612,TRUE,2612.000,537.099,1028.208,173,[],1,Example,siLUC1,1,,,,['2623'],1,NaN,NaN,NaN,,,normal,,blank,
58,14,2967,TRUE,2967.000,1247.246,838.173,235,[],1,Example,siLUC1,1,,,,[],0,NaN,NaN,NaN,,,normal,,blank,
56,13,2935,TRUE,2935.000,669.129,703.932,237,[],1,Example,siLUC1,1,,,,['2948'],1,NaN,NaN,NaN,,,normal,,blank,
44,10,2755,TRUE,2755.000,682.111,934.019,290,[],1,Example,siLUC1,1,,,,['2772'],1,NaN,NaN,NaN,,,normal,,blank,
11,3,2186,TRUE,2175.219,1044.505,982.909,356,[],1,Example,siLUC1,2,2175,,2237,['2197' '2212'],2,2,1659,27.650,TRUE,,normal,,blank,
