,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours,Seen_sister,Seen_granny,1st Error Type,comment,2nd Error Type,comment 2
20,11,2317,TRUE,2317.000,985.119,722.163,357,[],2,Example,siHAUS6,1,,,,[],0,NaN,NaN,NaN,,,normal,,blank,
23,13,2353,TRUE,2353.000,859.165,800.607,358,[],2,Example,siHAUS6,1,,,,[],0,NaN,NaN,NaN,,,normal,,blank,
82,34,3377,TRUE,3369.338,1022.960,729.897,374,[],2,Example,siHAUS6,2,3369,,3397,['3384'],1,2,1183,19.717,FALSE,,normal,,blank,
37,16,2520,TRUE,2456.252,740.945,146.532,378,[],2,Example,siHAUS6,2,2456,,2463,['2528'],1,2,2625,43.750,FALSE,,normal,,blank,
84,34,3397,TRUE,3369.340,1145.599,676.863,379,[],2,Example,siHAUS6,2,3369,,3377,['3404' '3418'],2,2,1218,20.300,TRUE,,normal,,blank,
66,31,3215,TRUE,3207.322,710.285,641.508,383,[],2,Example,siHAUS6,2,3207,,3228,[],0,2,1204,20.067,TRUE,,normal,,blank,
46,25,2696,TRUE,2679.270,1207.195,536.546,394,['2782'],2,Example,siHAUS6,2,2679,,2687,['2706'],1,2,2555,42.583,FALSE,,normal,,blank,
29,15,2429,TRUE,2407.243,1065.773,325.519,395,['2437'],2,Example,siHAUS6,2,2407,,2415,['2440'],1,2,1687,28.117,TRUE,,normal,,blank,
58,28,3126,TRUE,3119.313,626.316,1112.177,403,[],2,Example,siHAUS6,2,3119,,,['3134'],1,1,1687,28.117,,,normal,,blank,
4,4,2118,TRUE,2107.212,606.153,913.303,420,[],2,Example,siHAUS6,2,2107,,2130,[],0,2,1834,30.567,TRUE,,normal,,blank,
28,15,2415,TRUE,2407.242,1081.241,433.795,429,[],2,Example,siHAUS6,2,2407,,2429,[],0,2,1925,32.083,FALSE,,normal,,blank,
67,31,3228,TRUE,3207.323,750.060,694.541,435,[],2,Example,siHAUS6,2,3207,,3215,['3235'],1,2,1568,26.133,FALSE,,normal,,blank,
5,4,2130,TRUE,2107.213,953.078,359.769,450,[],2,Example,siHAUS6,2,2107,,2118,['2138' '2150'],2,2,2044,34.067,FALSE,,normal,,blank,
15,8,2256,TRUE,2244.226,574.112,725.477,474,['2264'],2,Example,siHAUS6,2,2244,,,[],0,1,2016,33.600,,,normal,,blank,
61,30,3161,TRUE,3153.316,1271.553,777.405,475,[],2,Example,siHAUS6,2,3153,,3180,['3169'],1,2,2268,37.800,TRUE,,normal,,blank,
77,33,3324,TRUE,3309.3318.3324,773.262,1092.290,483,[],2,Example,siHAUS6,3,3318,3309,3336,[],0,2,2009,33.483,FALSE,TRUE,normal,,blank,
41,20,2621,TRUE,2600.262,1132.065,535.442,493,[],2,Example,siHAUS6,2,2600,,2629,[],0,2,3136,52.267,TRUE,,Massive Missegregation,,blank,
49,25,2732,TRUE,2679.2687.2732,558.644,321.099,497,[],2,Example,siHAUS6,3,2687,2679,2724,['2741'],1,2,1834,30.567,TRUE,TRUE,normal,,blank,
