,Dataset,Position,Condition,Number_of_tracks,Max_No_of_Generations,Number_of_Source_IDs,Number_of_Sister_IDs,Number_of_Mother_IDs,Number_of_Grandmother_IDs,Average_No_of_SplittingEvents_per_Track,Average_No_of_Sisters_per_Splitting_event,Average_No_of_Mothers_per_Splitting_event,Average_No_of_Grandmothers_per_Splitting_event
0,Example,1,siLUC1,17,4,67,38,50,27,3.9411764705882355,0.39887955182072826,0.6028011204481792,0.28095238095238095
0,Example,2,siHAUS6,25,4,87,44,62,30,3.48,0.3466666666666667,0.5232222222222223,0.203
