,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID
0,0,2008,True,2008,1029.3129774365977,415.0121423852108,174.0,['2010']
1,1,2035,True,2035,1038.1518383725888,475.7793113201501,164.0,['3052']
2,10,2287,True,2287,444.84329804418104,558.6436325950674,170.0,[]
3,10,2296,True,2287.2296,755.3082884208711,358.664403918267,596.0,['2298']
4,10,2306,True,2287.2306,522.1833312341038,567.4824935310586,601.0,"['2308', '2310']"
5,11,2317,True,2317,985.1186727566418,722.1625599109043,357.0,[]
6,12,2333,True,2333,503.4007517451226,606.15251012602,282.0,[]
7,12,2340,True,2333.2340,538.7561954890873,578.5310697010476,566.0,"['2342', '2344']"
8,13,2353,True,2353,859.1649044187675,800.6074507178259,358.0,[]
9,14,2370,True,2370,817.1803149728094,519.9736160001061,83.0,[]
10,14,2377,True,2370.2377,980.6992422886462,303.4215230683222,317.0,['2384']
11,14,2390,True,2370.2390,721.0577022939053,442.6335828101832,322.0,[]
12,15,2407,True,2407,906.6737819497201,273.590367409352,154.0,[]
13,15,2415,True,2407.2415,1081.2412854355457,433.794721874192,429.0,[]
14,15,2429,True,2407.2429,1065.7732787975613,325.5186754083001,395.0,['2437']
15,15,2440,True,2407.2429.2440,1408.2791400672195,450.3675861291755,764.0,[]
16,16,2456,True,2456,704.4848380389218,721.0577022939053,3.0,[]
17,16,2463,True,2456.2463,574.1116392330521,546.4901988080795,219.0,[]
18,16,2471,True,2456.2463.2471,765.2520069738613,819.3900302068072,680.0,[]
19,16,2485,True,2456.2463.2485,441.52872519318436,749.7840003358767,515.0,[]
20,16,2494,True,2456.2463.2485.2494,324.4138177913012,919.9320733537069,717.0,[]
21,16,2507,True,2456.2463.2485.2507,394.01984766223177,757.518003654869,743.0,[]
22,16,2520,True,2456.2520,740.9451393998854,146.53174145447875,378.0,[]
23,16,2528,True,2456.2520.2528,749.7840003358767,222.76691702740266,577.0,[]
24,16,2539,True,2456.2520.2528.2539,764.1471493568623,391.81013242823394,806.0,[]
25,20,2600,True,2600,1076.8218549675503,705.5896956559208,45.0,[]
