,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID,Position,Dataset,Condition,Generation,Mother_ID,Grandmother_ID,Sister_ID,Daughters_ID,Number_of_daughters_in_mitosis,Mother_Number_of_daughters_in_mitosis,Cell_Cycle_mins,Cell_Cycle_hours
0,0,2008,True,2008,1029.3129774365977,415.0121423852108,174.0,['2010'],2,Example,siHAUS6,1,,,,[],0,,,
1,1,2035,True,2035,1038.1518383725888,475.7793113201501,164.0,['3052'],2,Example,siHAUS6,1,,,,[],0,,,
2,3,2079,True,2079,725.477132761901,481.30359940514467,223.0,['2083'],2,Example,siHAUS6,1,,,,[],0,,,
3,4,2107,True,2107,777.405440760849,811.656026887815,158.0,[],2,Example,siHAUS6,1,,,,['2118' '2130'],2,,,
4,4,2118,True,2107.2118,606.15251012602,913.3029276517135,420.0,[],2,Example,siHAUS6,2,2107,,2130,[],0,2.0,1834.0,30.566666666666666
5,4,2130,True,2107.2130,953.0778018636738,359.76926153526597,450.0,[],2,Example,siHAUS6,2,2107,,2118,['2138' '2150'],2,2.0,2044.0,34.06666666666667
6,4,2138,True,2107.2130.2138,842.5920401637841,199.56490707042582,684.0,[],2,Example,siHAUS6,3,2130,2107,2150,[],0,2.0,1638.0,27.3
7,4,2150,True,2107.2130.2150,930.9806495236958,423.851003321202,668.0,[],2,Example,siHAUS6,3,2130,2107,2138,[],0,2.0,1526.0,25.433333333333334
8,5,2165,True,2165,859.1649044187675,765.2520069738613,306.0,[],2,Example,siHAUS6,1,,,,[],0,,,
9,6,2181,True,2181,461.4161622991645,273.590367409352,223.0,[],2,Example,siHAUS6,1,,,,['2190'],1,,,
10,6,2190,True,2181.2190,527.7076193190984,10.634254563614387,719.0,"['2192', '2194']",2,Example,siHAUS6,2,2181,,,[],0,1.0,3472.0,57.86666666666667
11,7,2204,True,2204,1072.4024244995546,895.625205779731,167.0,[],2,Example,siHAUS6,1,,,,['2212' '2225'],2,,,
12,7,2212,True,2204.2212,1128.7501629664985,896.7300633967301,536.0,[],2,Example,siHAUS6,2,2204,,2225,[],0,2.0,2583.0,43.05
13,7,2225,True,2204.2225,1063.5635635635635,916.6175005027102,507.0,[],2,Example,siHAUS6,2,2204,,2212,[],0,2.0,2380.0,39.666666666666664
14,8,2244,True,2244,236.02520843138942,788.4540169308381,186.0,['2253'],2,Example,siHAUS6,1,,,,['2256'],1,,,
15,8,2256,True,2244.2256,574.1116392330521,725.477132761901,474.0,['2264'],2,Example,siHAUS6,2,2244,,,[],0,1.0,2016.0,33.6
