,Track_ID,Source_ID,Splitting_event,Lineage,Track_Coordinate_X,Track_Coordinate_Y,Frame,EndPoint_ID
0,0,2004,True,2004,994.7861769053821,916.8937149069599,121.0,[]
1,1,2027,True,2027,826.8478191215497,984.0138151396429,104.0,[]
2,1,2038,True,2027.2038,856.1265459720206,1054.7247026275725,422.0,[]
3,1,2064,True,2027.2064,439.04279555493673,1147.25652805123,510.0,[]
4,10,2755,True,2755,682.1114712946943,934.0190079704429,290.0,[]
5,10,2772,True,2755.2772,723.8198463364026,1330.1104636645475,735.0,[]
6,11,2789,True,2789,958.6020899486684,627.144804848999,132.0,[]
7,11,2800,True,2789.2800,1149.1900288809782,775.1957255268513,484.0,[]
8,11,2815,True,2789.2800.2815,986.2235303736408,364.46490640751125,717.0,[]
9,11,2834,True,2789.2800.2834,1278.4583700698493,863.3081204825133,697.0,[]
10,11,2855,True,2789.2855,622.1729455725041,533.7843362125923,592.0,[]
11,12,2872,True,2872,875.4615542695012,998.6531785648782,158.0,[]
12,12,2883,True,2872.2883,863.3081204825135,1004.7298954583722,377.0,[]
13,12,2892,True,2872.2883.2892,884.5766296097421,1361.8751201532657,574.0,[]
14,12,2905,True,2872.2883.2892.2905,844.5255409935322,1606.3248679142719,808.0,"['2907', '2909']"
15,12,2914,True,2872.2883.2892.2914,941.7530112894351,1196.4226920076808,815.0,[]
16,13,2935,True,2935,669.1293942949571,703.9324092304224,237.0,[]
17,13,2948,True,2935.2948,372.75133853500296,614.7151566577614,793.0,[]
18,14,2967,True,2967,1247.24614238963,838.1726096957884,235.0,[]
19,15,2984,True,2984,708.9042685069174,996.7196777351302,159.0,[]
20,15,3001,True,2984.3001,715.5334142089108,1240.8932110918865,503.0,['3014']
21,15,3028,True,2984.3001.3028,742.3262114211342,1301.9365944310757,816.0,[]
22,17,3037,True,3037,916.8937149069599,814.694385334562,142.0,[]
23,17,3046,True,3037.3046,1173.2206820507042,925.7325758429512,377.0,[]
24,17,3055,True,3037.3046.3055,1120.187516434757,985.3948871608916,650.0,[]
25,17,3070,True,3037.3046.3070,1150.8473153064765,1199.7372648586775,668.0,[]
26,17,3085,True,3037.3085,907.2262107582195,1264.0952210488633,569.0,[]
27,2,2085,True,2085,665.262392635461,960.2593763741665,108.0,[]
28,2,2094,True,2085.2094,596.7612203815295,959.7069475656672,442.0,[]
29,2,2105,True,2085.2094.2105,849.7736146742769,935.9525088001909,693.0,[]
30,2,2126,True,2085.2094.2126,855.8503315677709,1362.4275489617653,736.0,[]
31,2,2143,True,2085.2143,632.6690929339935,783.7583720585928,437.0,[]
32,2,2154,True,2085.2143.2154,164.76189213496056,738.1829953573882,786.0,[]
33,3,2175,True,2175,1013.0163275858639,910.5407836092162,119.0,[]
34,3,2186,True,2175.2186,1044.5047696703325,982.9089575226438,356.0,[]
35,3,2197,True,2175.2186.2197,746.1932130806302,737.6305665488887,816.0,[]
36,3,2212,True,2175.2186.2212,1012.7401131816143,1484.2381012358935,782.0,[]
37,3,2237,True,2175.2237,930.7044351194462,1297.7933783673298,383.0,[]
38,3,2252,True,2175.2237.2252,1008.5968971178683,830.4386063767962,642.0,[]
39,3,2291,True,2175.2237.2291,938.4384384384384,937.3335808214396,680.0,[]
40,4,2322,True,2322,1309.6705977500678,1072.1262100953052,106.0,[]
41,4,2335,True,2322.2335,1199.4610504544278,1268.2384371126093,397.0,[]
42,4,2354,True,2322.2335.2354,1039.2566959895878,371.0940521095046,816.0,[]
43,4,2367,True,2322.2335.2367,1121.292374051756,1261.0568626021163,676.0,[]
44,4,2390,True,2322.2390,1329.0056060475488,1200.289693667177,408.0,[]
45,4,2405,True,2322.2390.2405,1162.7245346892144,1420.1563594499578,653.0,['2418']
46,4,2434,True,2322.2390.2434,1300.555522409827,1235.0927086026422,682.0,[]
47,5,2453,True,2453,477.71281214989824,893.4154905457334,108.0,[]
48,5,2460,True,2453.2460,328.55703385504705,1100.023864924527,419.0,[]
49,5,2473,True,2453.2460.2473,818.561386994058,1061.9062771380652,785.0,[]
50,5,2496,True,2453.2496,611.9530126152642,985.1186727566418,472.0,[]
51,5,2507,True,2453.2496.2507,455.6156598099202,934.2952223746926,719.0,[]
52,5,2522,True,2453.2496.2522,729.6203488256468,872.9756246312537,670.0,[]
53,6,2543,True,2543,785.4156584840912,1183.9930438164433,116.0,[]
54,6,2550,True,2543.2550,759.451504484617,1128.7501629664982,374.0,[]
55,6,2563,True,2543.2550.2563,604.7714381047714,903.3592090987235,793.0,[]
56,6,2580,True,2543.2580,764.6995781653617,1088.9752887545383,473.0,[]
57,6,2595,True,2543.2580.2595,821.0473166323055,866.8989077377598,695.0,[]
58,7,2612,True,2612,537.098909063589,1028.2081198195988,173.0,[]
59,7,2623,True,2612.2623,564.1679206800619,924.903932630202,473.0,[]
60,8,2640,True,2640,1096.4330776692805,920.760716566456,141.0,[]
61,8,2649,True,2640.2649,1075.993211754801,912.4742844389643,422.0,[]
62,8,2662,True,2640.2649.2662,951.4205154381752,1253.8752880916234,815.0,[]
63,8,2677,True,2640.2649.2677,1085.384501499292,878.4999127162482,663.0,[]
64,8,2694,True,2640.2694,899.7684218434771,1156.371603391471,400.0,[]
65,8,2707,True,2640.2694.2707,968.2695940974086,1184.5454726249427,719.0,[]
66,9,2728,True,2728,1258.0185041553693,742.3262114211342,104.0,[]
